"Fe","Cr","Ni","Mo","W","N","Nb","C","Si","Mn","Cu","P","S","Al","Ce","Ti","NaCl_Conc_M","Temperature","Log10_iPass"
70.92,18,9,0,0,0,0,0.08,0,2,0,0,0,0,0,0,0.6,20,-6.4
68.39,17.2,10.1,2.2,0,0,0,0.03,0.5,1.5,0,0.05,0.03,0,0,0,0.6,22,-5.96
77.72,19,0.5,0,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0.5,0.68,30,-5
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0.17,30,-4.82
66.87,17,12,2.5,0,0,0,0.04,0.06,1.5,0,0.03,0,0,0,0,0.6,20,-5.22
59.35,18.5,15.5,4.5,0,0.1,0,0.02,0.5,1.5,0,0.03,0,0,0,0,0.1,20,-5.72
69.79,16,10,2,0,0,0,0.03,0.4,1.78,0,0,0,0,0,0,0.6,25,-4.9
64.95,18,12,3,0,0,0,0.02,0.5,1.5,0,0.03,0,0,0,0,0.1,20,-5.55
82.371,15.17,0,1.03,0,0.15,0,0.31,0.52,0.44,0,0,0,0,0.0094,0,0.6,30,-6.05
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,30,-4.7
82.101,15.13,0,1.03,0,0.52,0,0.3,0.47,0.44,0,0,0,0,0.0086,0,0.6,30,-6.05
77.72,19,0.5,0,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0.5,0,30,-5.22
67.08,17.7,10.5,2.2,0,0,0,0.02,0.8,1.7,0,0,0,0,0,0,0.6,25,-5.66
59.35,18.5,15.5,4.5,0,0.1,0,0.02,0.5,1.5,0,0.03,0,0,0,0,4,20,-5.06
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0.51,30,-5
64.95,18,12,3,0,0,0,0.02,0.5,1.5,0,0.03,0,0,0,0,2,20,-5
63.88,24.7,6.5,3.6,0,0.3,0,0.02,0.6,0.4,0,0,0,0,0,0,2.5,30,-5.97
67.57,1,6.5,0,0,0,0,0.43,0,15,0,0,0,9.5,0,0,0.6,25,-6.4
65.095,17.25,12,2.5,0,0,0,0.08,1,2,0,0.045,0.03,0,0,0,0.6,25,-5.6
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0.68,30,-5.02
57.67,21.5,15.7,2.1,0,1.5,0,0.03,0.2,0.2,0,0,0,0,0,0.1,0.6,25,-4.7
66.87,17,12,2.5,0,0,0,0.04,0.06,1.5,0,0.03,0,0,0,0,0.01,20,-5.7
82.132,15.18,0,1.04,0,0.41,0,0.31,0.5,0.42,0,0,0,0,0.0084,0,0.6,30,-6.05
64.95,18,12,3,0,0,0,0.02,0.5,1.5,0,0.03,0,0,0,0,4,20,-4.74
79.071,17,0,0.75,0,0,0,1.1,1,1,0,0.049,0.03,0,0,0,0.6,25,-5.7
84.944,12.75,0,0,0,0.0244,0,0.22,1.64,0.39,0,0,0.0176,0.0131,0,0.001,0.6,25,-6
76.4,21,0,0,0,0.02,0.5,0.02,0.46,0.8,0.4,0,0,0,0,0.4,0.1,20,-5.48
82.442,15.24,0,1.04,0,0,0,0.31,0.53,0.43,0,0,0,0,0.0076,0,0.6,30,-5.97
67.155,22.56,5.43,3.07,0,0.17,0,0.02,0.54,1.03,0,0.017,0.008,0,0,0,4,20,-4.98
71.62,18.22,8.245,0,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0.1,20,-5.57
64.95,18,12,3,0,0,0,0.02,0.5,1.5,0,0.03,0,0,0,0,0.01,20,-5.42
66.562,22.46,5.39,3.11,0,0.18,0,0.016,0.43,1.57,0.25,0.03,0.002,0,0,0,0.6,25,-6.34
68.83,19,10,0,0,0,0,0.02,0.6,1.5,0,0.03,0.02,0,0,0,0.1,20,-5.59
71.844,21.8,1.16,0.404,0,0.162,0,0.11,0,4.52,0,0,0,0,0,0,0.6,20,-6.05
68.83,19,10,0,0,0,0,0.02,0.6,1.5,0,0.03,0.02,0,0,0,2,20,-5.33
76.4,21,0,0,0,0.02,0.5,0.02,0.46,0.8,0.4,0,0,0,0,0.4,0.6,20,-5.37
85.509,13.23,0,0.03,0,0,0,0.22,0.39,0.48,0.027,0.014,0.002,0.08,0,0,0.6,25,-6.92
71.62,18.22,8.245,0,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0.6,20,-5.22
82.323,15.15,0,1.02,0,0.24,0,0.3,0.51,0.45,0,0,0,0,0.0072,0,0.6,30,-6.05
71.62,18.22,8.245,0,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,2,20,-5.01
76.4,19.5,0.2,2.5,0,0.03,0.17,0.02,0.5,0.5,0,0.04,0,0,0,0.14,0.6,20,-4.35
59.35,18.5,15.5,4.5,0,0.1,0,0.02,0.5,1.5,0,0.03,0,0,0,0,0.6,20,-5.35
80.781,13,4.5,0.75,0,0,0,0.025,0.3,0.6,0,0.04,0.004,0,0,0,0.6,25,-5.3
63.31,27.5,2.75,3.5,0,0.04,0,0.03,1,1,0,0.04,0.03,0,0,0.8,0.6,25,-6.7
72.8,15.23,1.13,0,0,0.16,0,0.07,0.67,9.89,0,0,0.05,0,0,0,1.71,25,-5.7
68.83,19,10,0,0,0,0,0.02,0.6,1.5,0,0.03,0.02,0,0,0,4,20,-4.81
78.465,17.37,0.45,1.85,0,0,0,0.12,0.73,0.95,0,0.035,0.03,0,0,0,0.6,25,-6.54
63.569,24.6,6.7,3.49,0,0.29,0,0.09,0.27,0.76,0.17,0.02,0.001,0,0,0,0.6,20,-6.3
63.31,18,13,2.5,0,0.1,0,0.03,1,2,0,0.045,0.015,0,0,0,0.6,20,-4.77
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0.85,30,-5
79.53,12.25,5.45,2.06,0,0,0,0.018,0.0215,0.411,0.245,0.011,0.004,0,0,0,0.6,23,-4.8
71.62,18.22,8.245,0,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0.01,20,-5.23
86.032,12.25,0.68,0,0,0,0,0.149,0.45,0.347,0,0.024,0.068,0,0,0,0.6,25,-5.54
84.777,12.83,0,0,0,0.0232,0,0.22,1.73,0.38,0,0,0.0076,0.007,0,0.0055,0.6,25,-6.15
66.73,22.5,5.6,3.1,0,0,0,0.02,0.6,1.4,0,0.03,0.02,0,0,0,0.6,22,-5.96
76.4,21,0,0,0,0.02,0.5,0.02,0.46,0.8,0.4,0,0,0,0,0.4,4,20,-5.02
75.577,15.33,4.21,0.2,0,0,0,0.331,0.38,0.48,3.39,0,0,0,0,0,0.6,20,-5.34
77.72,19,0.5,0,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0.5,0.85,30,-4.92
62.41,30,0,2.7,0,2.1,0,0.09,1.2,0.5,0,0,0,0,0,0,0.6,25,-4.7
72.8,15.23,1.13,0,0,0.16,0,0.07,0.67,9.89,0,0,0.05,0,0,0,0,25,-6.3
63.569,24.6,6.7,3.49,0,0.29,0,0.09,0.27,0.76,0.17,0.02,0.001,0,0,0,0.6,20,-5.32
86.61,10.06,0,1.26,0,0,0,0.02,0.49,1.49,0,0.01,0.01,0,0,0,0.6,25,-6.64
67.155,22.56,5.43,3.07,0,0.17,0,0.02,0.54,1.03,0,0.017,0.008,0,0,0,0.01,20,-5.49
67.155,22.56,5.43,3.07,0,0.17,0,0.02,0.54,1.03,0,0.017,0.008,0,0,0,0.6,20,-4.79
75.577,15.33,4.21,0.2,0,0,0,0.331,0.38,0.48,3.39,0,0,0,0,0,0.1,20,-5.48
77.72,19,0.5,0,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0.5,0.17,30,-5.15
82.323,15.15,0,1.02,0,0.24,0,0.3,0.51,0.45,0,0,0,0,0.0072,0,0.6,30,-6.05
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,1.03,30,-5.1
71.62,18.22,8.245,0,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,4,20,-4.93
67.155,22.56,5.43,3.07,0,0.17,0,0.02,0.54,1.03,0,0.017,0.008,0,0,0,0.6,25,-5.7
75.577,15.33,4.21,0.2,0,0,0,0.331,0.38,0.48,3.39,0,0,0,0,0,2,20,-4.74
48.5,21,23,4,0,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0.34,30,-5
59.35,18.5,15.5,4.5,0,0.1,0,0.02,0.5,1.5,0,0.03,0,0,0,0,0.01,20,-5.01
67.155,22.56,5.43,3.07,0,0.17,0,0.02,0.54,1.03,0,0.017,0.008,0,0,0,0.1,20,-5.75
75.131,19.17,3.48,1.81,0,0.19,0,0.026,0,0,0,0,0.013,0,0,0,1,25,-6.15
77.72,19,0.5,0,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0.5,0.51,30,-5.07
74.523,19.37,3.4,1.83,0.65,0.19,0,0.025,0,0,0,0,0.012,0,0,0,1,25,-6.15
71.129,21.77,1.65,0.22,0,0.213,0,0.028,0,4.99,0,0,0,0,0,0,0.6,20,-6.1
66.87,17,12,2.5,0,0,0,0.04,0.06,1.5,0,0.03,0,0,0,0,0.1,20,-5.68
66.84,27,3,3,0,0.1,0,0.06,0,0,0,0,0,0,0,0,0.1,25,-6
68.228,22.1,5.2,2.77,0,0.17,0,0.01,0.44,0.75,0.25,0.02,0.002,0,0,0,0.6,20,-7
76.4,21,0,0,0,0.02,0.5,0.02,0.46,0.8,0.4,0,0,0,0,0.4,2,20,-5.63
77.72,19,0.5,0,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0.5,1.03,30,-4.82
82.101,15.13,0,1.03,0,0.52,0,0.3,0.47,0.44,0,0,0,0,0.0086,0,0.6,30,-6.05
67.08,17.7,10.5,2.2,0,0,0,0.02,0.8,1.7,0,0,0,0,0,0,0.1,25,-5.7
59.35,18.5,15.5,4.5,0,0.1,0,0.02,0.5,1.5,0,0.03,0,0,0,0,2,20,-4.78
82.371,15.17,0,1.03,0,0.15,0,0.31,0.52,0.44,0,0,0,0,0.0094,0,0.6,30,-6.05
75.577,15.33,4.21,0.2,0,0,0,0.331,0.38,0.48,3.39,0,0,0,0,0,4,20,-4.6
63.79,25.2,6,2,0,0.2,0,0.03,0.8,1.98,0,0,0,0,0,0,0.85,25,-4.3
75.352,19.21,3.46,1.75,0,0.19,0,0.026,0,0,0,0,0.012,0,0,0,1,25,-6.15
66.51,24,3.6,1.6,0,0.27,0,0.02,0,3,1,0,0,0,0,0,0.6,25,-6
82.442,15.24,0,1.04,0,0,0,0.31,0.53,0.43,0,0,0,0,0.0076,0,0.6,30,-5.97
77.472,12.14,0.375,0,0,0,0,0.069,0.303,9.56,0,0.006,0.007,0,0,0,0.6,25,-5.82
